Model,Accuracy,Precision,Recall,F1
LogisticRegression,0.9719298245614035,0.9442724458204335,0.9481865284974094,0.9462254395036195
CatBoost,0.97165991902834,0.9414784394250514,0.950259067357513,0.9458483754512635
GaussianNB,0.97165991902834,0.9423868312757202,0.9492227979274611,0.945792462570986
XGBoost,0.97165991902834,0.9423868312757202,0.9492227979274611,0.945792462570986
KNeighborsClassifier,0.97165991902834,0.9442148760330579,0.9471502590673575,0.9456802897051215
AdaBoost,0.9713900134952766,0.9414182939362795,0.9492227979274611,0.9453044375644994
LightGBM,0.9713900134952766,0.9432404540763674,0.9471502590673575,0.9451913133402275
RandomForestClassifier,0.9711201079622133,0.941358024691358,0.9481865284974094,0.9447599380485286
ExtraTreesClassifier,0.9692307692307692,0.9382080329557158,0.944041450777202,0.9411157024793388
Bagging,0.9665317139001349,0.933058702368692,0.938860103626943,0.9359504132231405
DecisionTreeClassifier,0.9387314439946018,0.8757637474541752,0.8911917098445595,0.8834103749357987
