iter	Logloss
0	0.5399650099
1	0.431353402
2	0.3520462506
3	0.2955988028
4	0.2526547052
5	0.2221299525
6	0.199760199
7	0.1829763876
8	0.1704313841
9	0.1612157931
10	0.1540711719
11	0.1484120506
12	0.1439803061
13	0.1407087014
14	0.1380504233
15	0.1359630127
16	0.1342641416
17	0.1327489252
18	0.131543881
19	0.1306058652
20	0.1300100621
21	0.1294163282
22	0.128799282
23	0.1283294911
24	0.1278881686
25	0.1275239671
26	0.1271923663
27	0.1269293789
28	0.1266367588
29	0.1263890086
30	0.1260712274
31	0.1258818136
32	0.1256550183
33	0.1254643294
34	0.1253029683
35	0.125054448
36	0.1249667397
37	0.1247596434
38	0.1245266348
39	0.1243447424
40	0.1240442454
41	0.1239061949
42	0.1236488828
43	0.1235330585
44	0.1233623662
45	0.1231816753
46	0.1230799636
47	0.1229534733
48	0.1228202054
49	0.122694542
50	0.1225796041
51	0.1223819891
52	0.1222678765
53	0.1221014797
54	0.12193104
55	0.1217629996
56	0.1216308446
57	0.1214684014
58	0.1212649166
59	0.121197
60	0.1210773863
61	0.1209120249
62	0.1207541193
63	0.1206721522
64	0.1205347007
65	0.1204255
66	0.1202776277
67	0.1201047644
68	0.1199769988
69	0.1198151351
70	0.1197157505
71	0.1195984584
72	0.1194822433
73	0.1193563818
74	0.1191216717
75	0.1189251311
76	0.1188195424
77	0.1187514524
78	0.118542294
79	0.1184707012
80	0.1182886773
81	0.118187233
82	0.1180035744
83	0.1178395741
84	0.1176882634
85	0.1175523195
86	0.1173687071
87	0.1172612699
88	0.1171877462
89	0.1170680286
90	0.1170359144
91	0.1168799623
92	0.1167406344
93	0.1165710417
94	0.1164656477
95	0.1163920609
96	0.116166023
97	0.116055416
98	0.1159079494
99	0.1157778184
100	0.1156372454
101	0.1154710963
102	0.1153318569
103	0.1151284577
104	0.1150160231
105	0.1148967187
106	0.1148048721
107	0.1147371978
108	0.114515555
109	0.1143494561
110	0.114096962
111	0.1140221641
112	0.1137834872
113	0.1136941381
114	0.113558903
115	0.1133433886
116	0.1131866702
117	0.1130538453
118	0.1128729981
119	0.1127459409
120	0.1125854713
121	0.1125069521
122	0.1123065182
123	0.1122277107
124	0.1121062349
125	0.1119892502
126	0.1118646218
127	0.1116622228
128	0.1115587135
129	0.1113517234
130	0.1112863662
131	0.1111986237
132	0.1111352223
133	0.1110727475
134	0.1109682702
135	0.1107923499
136	0.1107221149
137	0.1106166596
138	0.110443511
139	0.1102631904
140	0.110213986
141	0.1101009972
142	0.1099678665
143	0.1099182406
144	0.1097188919
145	0.1095234552
146	0.1093669464
147	0.1092982308
148	0.1092763061
149	0.1092374427
150	0.1092118502
151	0.1091053785
152	0.1088739479
153	0.1088502788
154	0.108811995
155	0.1087498594
156	0.1086117094
157	0.1084239054
158	0.1082838533
159	0.108215401
160	0.1080815301
161	0.1079934462
162	0.1079710384
163	0.1079030438
164	0.1078383125
165	0.1077188879
166	0.1076987418
167	0.1076388885
168	0.1075360623
169	0.1074232281
170	0.1073214699
171	0.1072612129
172	0.1072085724
173	0.1070690162
174	0.1070073626
175	0.1068596076
176	0.1067977811
177	0.1066753031
178	0.1065294359
179	0.1064677721
180	0.1064142706
181	0.1063526662
182	0.106280407
183	0.1061523057
184	0.1060928703
185	0.1060073575
186	0.1059898247
187	0.1058420547
188	0.1057403048
189	0.1056845226
190	0.1056646157
191	0.1056138612
192	0.1054890643
193	0.1053737675
194	0.1053547734
195	0.1053277753
196	0.1052023285
197	0.1051857984
198	0.1051506575
199	0.1050965566
