iter	Passed	Remaining
0	9	1891
1	19	1902
2	28	1877
3	36	1769
4	44	1753
5	53	1740
6	62	1731
7	71	1705
8	80	1701
9	88	1681
10	97	1667
11	105	1652
12	114	1640
13	122	1624
14	130	1612
15	139	1604
16	148	1593
17	156	1586
18	165	1574
19	173	1563
20	179	1530
21	188	1524
22	196	1513
23	205	1503
24	213	1492
25	221	1481
26	229	1471
27	237	1460
28	246	1451
29	254	1442
30	262	1432
31	270	1420
32	278	1410
33	287	1402
34	295	1394
35	304	1385
36	312	1377
37	321	1369
38	329	1361
39	338	1352
40	346	1344
41	355	1335
42	363	1327
43	372	1319
44	380	1310
45	388	1299
46	398	1298
47	409	1297
48	418	1289
49	427	1281
50	435	1272
51	444	1263
52	452	1254
53	460	1246
54	469	1236
55	476	1226
56	484	1216
57	493	1207
58	501	1198
59	509	1188
60	518	1182
61	526	1172
62	535	1164
63	543	1155
64	551	1146
65	559	1136
66	567	1126
67	576	1118
68	583	1108
69	592	1099
70	601	1093
71	610	1085
72	619	1078
73	628	1070
74	638	1063
75	647	1056
76	655	1047
77	664	1039
78	672	1030
79	680	1021
80	689	1012
81	696	1002
82	706	995
83	714	986
84	723	978
85	731	970
86	740	961
87	748	952
88	757	944
89	767	937
90	775	928
91	783	919
92	793	913
93	802	904
94	810	895
95	818	887
96	827	878
97	835	869
98	843	860
99	851	851
100	860	843
101	868	834
102	876	825
103	884	816
104	892	807
105	900	798
106	908	789
107	916	780
108	925	773
109	934	764
110	942	755
111	950	746
112	958	738
113	966	729
114	975	720
115	982	711
116	991	703
117	999	694
118	1007	685
119	1016	677
120	1024	669
121	1033	660
122	1041	651
123	1049	643
124	1057	634
125	1065	625
126	1073	616
127	1081	608
128	1089	599
129	1096	590
130	1105	582
131	1113	573
132	1121	565
133	1130	556
134	1138	548
135	1147	539
136	1155	531
137	1163	522
138	1171	514
139	1182	506
140	1190	498
141	1199	489
142	1207	481
143	1216	473
144	1225	464
145	1233	456
146	1241	447
147	1250	439
148	1259	430
149	1267	422
150	1275	413
151	1283	405
152	1292	396
153	1301	388
154	1311	380
155	1321	372
156	1330	364
157	1339	356
158	1348	347
159	1356	339
160	1365	330
161	1373	322
162	1381	313
163	1389	305
164	1397	296
165	1405	287
166	1413	279
167	1422	270
168	1430	262
169	1438	253
170	1446	245
171	1454	236
172	1462	228
173	1470	219
174	1478	211
175	1486	202
176	1494	194
177	1502	185
178	1510	177
179	1518	168
180	1526	160
181	1535	151
182	1543	143
183	1550	134
184	1558	126
185	1568	118
186	1577	109
187	1585	101
188	1594	92
189	1603	84
190	1612	75
191	1621	67
192	1629	59
193	1638	50
194	1646	42
195	1654	33
196	1663	25
197	1671	16
198	1679	8
199	1687	0
